"id","gender","age","weight","height","bmi"
"1",2,2,38,148,164.465,24.816299729
"2",1,2,35,177,167.64,28.5653961466
"3",4,2,55,136,153.035,26.337810091
"4",3,2,36,151,156.845,27.8392723316
"5",5,1,47,152,173.26,22.4440001251
"6",7,1,48,180,176.53,26.1973734976
"7",8,1,36,182,184.15,24.3416621771
"8",10,1,31,233,174.625,34.654957614
"9",11,1,51,202,180.975,27.9728352864
"10",12,1,48,149,166.37,24.4151009553
"11",13,2,47,134,153.035,25.9504893544
"12",21,2,37,109,162.56,18.7077434675
"13",23,1,45,201,171.45,31.0129706212
"14",24,2,59,192,165.1,31.9469477458
"15",25,2,54,144,161.925,24.9090388422
"16",26,1,41,182,173.625,27.069537707
"17",27,2,32,127,154.94,23.9937929526
"18",31,1,47,163,171.45,25.1498219466
"19",32,1,33,170,172.72,25.8455603221
"20",33,2,29,115,154.94,21.7266629098
"21",35,2,43,133,165.735,21.9606638825
"22",37,2,30,178,165.735,29.3909636923
"23",41,2,32,110,169.545,17.355814554
"24",43,1,58,217,172.72,32.9910975876
"25",44,2,59,127,147.32,26.5401021334
"26",50,2,33,150,166.37,24.5789606932
"27",51,2,51,153,159.385,27.3161083377
"28",61,1,47,162,172.72,24.6292986599
"29",62,2,24,126,164.465,21.1273903098
"30",63,2,41,147,163.195,25.0337509163
"31",65,2,35,115,156.845,21.2020948221
"32",66,1,26,171,173.355,25.8074832981
"33",67,2,36,158,160.02,27.9853565231
"34",68,2,35,0,0,NA
"35",71,2,45,124,161.29,21.6186758892
"36",73,2,28,139,160.655,24.4257887399
"37",74,1,50,177,173.355,26.7130090278
"38",75,1,44,177,191.77,21.8290190105
"39",81,2,23,130,163.83,21.9674061172
"40",82,2,57,120,158.75,21.5961366762
"41",83,2,42,127,161.925,21.9683884233
"42",84,1,39,172,173.355,25.958404253
"43",85,1,38,173,175.26,25.5448159319
"44",86,1,40,213,180.34,29.7041932716
"45",91,1,48,114,150.495,22.8287955126
"46",92,1,32,167,167.005,27.1568762207
"47",93,1,33,174,172.72,26.4536911532
"48",94,2,41,125,165.735,20.6397216941
"49",95,2,21,129,160.02,22.8488037435
"50",101,2,52,139,146.05,29.5552043753
"51",102,2,40,150,156.845,27.6549062897
"52",103,1,35,168,176.53,24.4508819311
"53",104,1,54,136,176.53,19.7935710871
"54",105,1,34,151,171.45,23.2983013125
"55",106,2,43,136,154.305,25.9060500245
"56",107,2,30,121,164.465,20.2890018055
"57",108,2,36,118,160.02,20.9004561375
"58",110,2,34,149,161.29,25.9772798991
